Municipios;Sexo;Periodo;Total
29005 Algarrobo;Mujeres;2014;3.036
29005 Algarrobo;Mujeres;2013;3.287
29005 Algarrobo;Mujeres;2012;3.261
29005 Algarrobo;Mujeres;2011;3.257
29005 Algarrobo;Mujeres;2010;3.168
29005 Algarrobo;Mujeres;2009;3.091
29005 Algarrobo;Mujeres;2008;3.054
29005 Algarrobo;Mujeres;2007;2.935
29005 Algarrobo;Mujeres;2006;2.809
29005 Algarrobo;Mujeres;2005;2.627
29005 Algarrobo;Mujeres;2004;2.488
29005 Algarrobo;Mujeres;2003;2.445
29005 Algarrobo;Mujeres;2002;2.423
29005 Algarrobo;Mujeres;2001;2.432
29005 Algarrobo;Mujeres;2000;2.450
29005 Algarrobo;Mujeres;1999;2.449
29005 Algarrobo;Mujeres;1998;2.407
29005 Algarrobo;Mujeres;1997;""
29005 Algarrobo;Mujeres;1996;2.346
29006 Algatocín;Total;2022;826
29006 Algatocín;Total;2021;825
29006 Algatocín;Total;2020;814
29006 Algatocín;Total;2019;793
29006 Algatocín;Total;2018;778
29006 Algatocín;Total;2017;778
29006 Algatocín;Total;2016;795
29006 Algatocín;Total;2015;834
29006 Algatocín;Total;2014;844
29006 Algatocín;Total;2013;866
29006 Algatocín;Total;2012;887
29006 Algatocín;Total;2011;904
29006 Algatocín;Total;2010;937
29006 Algatocín;Total;2009;909
29006 Algatocín;Total;2008;929
29006 Algatocín;Total;2007;936
29006 Algatocín;Total;2006;942
29006 Algatocín;Total;2005;951
29006 Algatocín;Total;2004;944
29006 Algatocín;Total;2003;954
29006 Algatocín;Total;2002;965
29006 Algatocín;Total;2001;962
29006 Algatocín;Total;2000;949
29006 Algatocín;Total;1999;947
29006 Algatocín;Total;1998;972
29006 Algatocín;Total;1997;""
29006 Algatocín;Total;1996;1.014
29006 Algatocín;Hombres;2022;439
29006 Algatocín;Hombres;2021;429
29006 Algatocín;Hombres;2020;420
29006 Algatocín;Hombres;2019;410
29006 Algatocín;Hombres;2018;411
29006 Algatocín;Hombres;2017;402
29006 Algatocín;Hombres;2016;409
29006 Algatocín;Hombres;2015;432
29006 Algatocín;Hombres;2014;433
29006 Algatocín;Hombres;2013;442
29006 Algatocín;Hombres;2012;447
29006 Algatocín;Hombres;2011;460
29006 Algatocín;Hombres;2010;475
29006 Algatocín;Hombres;2009;463
29006 Algatocín;Hombres;2008;483
29006 Algatocín;Hombres;2007;487
29006 Algatocín;Hombres;2006;485
29006 Algatocín;Hombres;2005;490
29006 Algatocín;Hombres;2004;494
29006 Algatocín;Hombres;2003;496
29006 Algatocín;Hombres;2002;491
29006 Algatocín;Hombres;2001;489
29006 Algatocín;Hombres;2000;478
29006 Algatocín;Hombres;1999;478
29006 Algatocín;Hombres;1998;489
29006 Algatocín;Hombres;1997;""
29006 Algatocín;Hombres;1996;529
29006 Algatocín;Mujeres;2022;387
29006 Algatocín;Mujeres;2021;396
29006 Algatocín;Mujeres;2020;394
29006 Algatocín;Mujeres;2019;383
29006 Algatocín;Mujeres;2018;367
29006 Algatocín;Mujeres;2017;376
29006 Algatocín;Mujeres;2016;386
29006 Algatocín;Mujeres;2015;402
29006 Algatocín;Mujeres;2014;411
29006 Algatocín;Mujeres;2013;424
29006 Algatocín;Mujeres;2012;440
29006 Algatocín;Mujeres;2011;444
29006 Algatocín;Mujeres;2010;462
29006 Algatocín;Mujeres;2009;446
29006 Algatocín;Mujeres;2008;446
29006 Algatocín;Mujeres;2007;449
29006 Algatocín;Mujeres;2006;457
29006 Algatocín;Mujeres;2005;461
29006 Algatocín;Mujeres;2004;450
29006 Algatocín;Mujeres;2003;458
29006 Algatocín;Mujeres;2002;474
29006 Algatocín;Mujeres;2001;473
29006 Algatocín;Mujeres;2000;471
29006 Algatocín;Mujeres;1999;469
29006 Algatocín;Mujeres;1998;483
29006 Algatocín;Mujeres;1997;""
29006 Algatocín;Mujeres;1996;485
29007 Alhaurín de la Torre;Total;2022;42.531
29007 Alhaurín de la Torre;Total;2021;41.868
29007 Alhaurín de la Torre;Total;2020;41.170
29007 Alhaurín de la Torre;Total;2019;40.345
29007 Alhaurín de la Torre;Total;2018;39.911
29007 Alhaurín de la Torre;Total;2017;39.153
29007 Alhaurín de la Torre;Total;2016;38.794
29007 Alhaurín de la Torre;Total;2015;38.523
29007 Alhaurín de la Torre;Total;2014;38.300
29007 Alhaurín de la Torre;Total;2013;38.067
29007 Alhaurín de la Torre;Total;2012;37.446
29007 Alhaurín de la Torre;Total;2011;36.730
29007 Alhaurín de la Torre;Total;2010;35.832
29007 Alhaurín de la Torre;Total;2009;35.114
29007 Alhaurín de la Torre;Total;2008;33.567
29007 Alhaurín de la Torre;Total;2007;31.884
29007 Alhaurín de la Torre;Total;2006;30.281
29007 Alhaurín de la Torre;Total;2005;28.509
29007 Alhaurín de la Torre;Total;2004;26.764
29007 Alhaurín de la Torre;Total;2003;25.401
29007 Alhaurín de la Torre;Total;2002;23.774
29007 Alhaurín de la Torre;Total;2001;22.654
29007 Alhaurín de la Torre;Total;2000;21.649
29007 Alhaurín de la Torre;Total;1999;20.192
29007 Alhaurín de la Torre;Total;1998;19.024
29007 Alhaurín de la Torre;Total;1997;""
29007 Alhaurín de la Torre;Total;1996;16.914
29007 Alhaurín de la Torre;Hombres;2022;21.153
29007 Alhaurín de la Torre;Hombres;2021;20.802
29007 Alhaurín de la Torre;Hombres;2020;20.437
29007 Alhaurín de la Torre;Hombres;2019;20.047
29007 Alhaurín de la Torre;Hombres;2018;19.830
29007 Alhaurín de la Torre;Hombres;2017;19.458
29007 Alhaurín de la Torre;Hombres;2016;19.309
29007 Alhaurín de la Torre;Hombres;2015;19.162
29007 Alhaurín de la Torre;Hombres;2014;19.070
29007 Alhaurín de la Torre;Hombres;2013;19.005
29007 Alhaurín de la Torre;Hombres;2012;18.714
29007 Alhaurín de la Torre;Hombres;2011;18.346
29007 Alhaurín de la Torre;Hombres;2010;17.939
29007 Alhaurín de la Torre;Hombres;2009;17.562
29007 Alhaurín de la Torre;Hombres;2008;16.787
29007 Alhaurín de la Torre;Hombres;2007;16.011
29007 Alhaurín de la Torre;Hombres;2006;15.165
